description,biddable,startprice,condition,cellular,carrier,color,storage,productline,UniqueID,retailprice
like new,0,105,Used,1,AT&T,Unknown,32,iPad 1,11862,329
"Item is in great shape. I upgraded to the iPad Air 2 and don&#039;t need the mini any longer, even though ",0,195,Used,0,None,Unknown,16,iPad mini 2,11863,299
This iPad is working and is tested 100%. It runs great. It is in good condition. Cracked digitizer.,0,219.99,Used,0,None,Unknown,64,iPad 3,11864,349
,1,100,Used,0,None,Unknown,16,iPad mini,11865,209
Grade A condition means that the Ipad is 100% working condition. Cosmetically 8/9 out of 10 - Will ,0,210.99,Manufacturer refurbished,0,None,Black,32,iPad 3,11866,299
Brand new factory sealed iPad in an OPEN BOX...THE BOX ITSELF IS HEAVILY DISTRESSED(see ,0,514.95,New other (see details),0,None,Gold,64,iPad Air 2,11867,599
Good Condition! Fully Functional!,0,79.99,Seller refurbished,0,None,Black,32,iPad 1,11868,199
Clean iPad 4th generation,0,250,Used,0,None,Unknown,16,iPad 4,11869,299
Item has been professionally tested and inspected. Tests show that all features work correctly. This ,0,149.99,Used,0,None,Black,16,iPad 3,11870,249
,1,75,Used,0,None,Unknown,32,iPad 1,11871,199
Please read details below. Good working condition.  Home button doesn&#039;t feel right (it&#039;s &#034;softer&#034; ,0,145.49,Used,0,None,Unknown,16,iPad 2,11872,199
This iPad Mini 2 is gently used. The item shows very minor signs of use. Used less than 1 week. ,0,249,Used,1,AT&T,Space Gray,16,iPad mini 2,11873,429
"Screen is in excellent shape, no visible cracks or scratches.",0,153.95,Seller refurbished,0,None,Black,32,iPad 2,11874,249
,1,150,Used,1,AT&T,Black,64,iPad 3,11875,479
"it has two cracks on two corners, check pictures to see",0,274,Used,0,None,Unknown,32,iPad Air,11876,499
,1,250,Used,1,Unknown,Space Gray,128,iPad mini 2,11877,579
mint condition,1,250,Used,0,None,White,16,iPad Air,11878,399
,0,130,Used,0,None,Unknown,16,iPad 2,11879,199
,0,229.99,Used,1,Verizon,Unknown,32,iPad 3,11880,429
,1,289,Used,0,None,Space Gray,128,iPad mini 2,11881,449
"B - Stock. Seller refurbished &amp; in Very Good cosmetic condition. 100% Fully Functional, iCloud ",0,303.99,Seller refurbished,0,None,White,64,iPad 4,11882,399
,0,279.5,New,1,Verizon,Black,16,iPad mini,11883,309
Open Box Return (Excellent Physical Condition),0,239.99,New other (see details),0,None,Black,16,iPad 2,11884,199
,0,80,Used,0,None,Black,32,iPad 1,11885,199
,0,345,New,0,None,Gold,16,iPad mini 3,11886,399
"3 of 5. This item is used. The item shows average signs of wear and tear including scuff marks, ",0,239.99,Used,1,AT&T,Unknown,64,iPad 3,11887,479
,0,269.85,Seller refurbished,0,None,Black,16,iPad Air,11888,399
,0,280,New,0,None,White,16,Unknown,11889,299
We are selling good quality iPads that have been fully tested by an Apple Certified Technician. The ,0,212.99,Seller refurbished,0,None,Black,64,iPad mini,11890,299
,1,0.01,Seller refurbished,0,None,Unknown,64,iPad 4,11891,399
great working iPad 2,0,139,Used,0,None,White,16,iPad 2,11892,199
MINT CONDITION,1,250,Used,0,None,Black,16,iPad Air,11893,399
Overall Very Good Condition with minor wear on the outer casing and and minor scratches on the ,0,129.95,Used,0,None,Black,32,iPad 2,11894,249
,0,559,New other (see details),0,None,Gold,64,iPad Air 2,11895,599
Great condition! No cracks or damage to iPad.,0,499,Used,1,Unknown,Space Gray,16,iPad Air 2,11896,629
In excellent condition,0,245,Used,0,None,Unknown,16,iPad mini 2,11897,299
,0,250,Manufacturer refurbished,1,AT&T,Black,32,iPad 3,11898,429
Device is in AVERAGE used cosmetic condition with heavy scratches and wear.Device is in 100% working ,0,79.94,Used,0,None,Unknown,64,iPad 1,11899,249
,0,219.85,Seller refurbished,1,Unknown,Black,64,iPad 2,11900,429
"Very Good Condition. Flawless screen, only blemish is a small scratch in the bottom right-hand ",1,199.99,Used,0,None,White,16,iPad 4,11901,299
Brand new in sealed retail box.,1,199.99,New other (see details),0,None,Space Gray,64,iPad Air 2,11902,599
,0,295,Used,Unknown,Unknown,Unknown,Unknown,Unknown,11903,NA
â€œBEST BUY REFURB. Cosmetic condition is 8 of 10.SCREEN IS EXCELLENTâ€ù NOT IN ORIGINAL BOXâ€ùâ€ù,0,359.99,Manufacturer refurbished,0,None,Unknown,128,iPad Air,11904,699
"This item is Used &amp; in Heavily Used cosmetic condition - 100% Fully Functional, Clean IMEI &amp; iCloud, ",0,256.24,Seller refurbished,0,None,Space Gray,16,iPad Air,11905,399
,1,25,Used,1,AT&T,Unknown,16,iPad 1,11906,279
,0,299.99,Used,1,AT&T,Space Gray,16,iPad Air,11907,529
In a case since I bought it. One owner lightly used.  No dead pixels. No marks on case or screen. ,0,199.99,Used,0,None,White,32,iPad 2,11908,249
,0,640,New,Unknown,Unknown,Unknown,Unknown,Unknown,11909,NA
This TAB is in average condition with some scratches on the housing or screen (does not affect ,0,145,Used,1,Verizon,White,32,iPad 2,11910,379
like new,0,170,Used,0,None,Unknown,16,iPad 1,11911,149
,0,284.99,Used,Unknown,Unknown,Gold,16,iPad mini 3,11912,399
,1,50,Used,0,None,Black,16,iPad 1,11913,149
great condition,1,200,Used,0,None,Black,64,iPad 2,11914,299
Used ipad 3 64gb   Has dings on 3 corners.  Light scratches on glass.,0,235,Used,1,Unknown,Unknown,64,iPad 3,11915,479
,0,619,New,0,None,Unknown,128,iPad Air 2,11916,699
,0,369.99,Used,1,Verizon,Space Gray,32,iPad Air,11917,579
Like NEW!!,1,100,Used,0,None,Unknown,16,iPad mini,11918,209
A device listed in good condition with a few minor mark and/or scratches on the housing or display ,0,169,Used,0,None,White,64,iPad 2,11919,299
Like new,0,219.99,Manufacturer refurbished,0,None,White,16,iPad 3,11920,249
"*FREE* Same-Day Ship | 90-Day Warranty | 100% Functional, Includes All Major Accessories, Shows ",0,199.69,Seller refurbished,0,None,White,16,iPad 3,11921,249
Passcode locked. New Screen.  See Photos.,1,69.5,Used,0,None,Black,16,iPad 2,11922,199
,1,1,New,0,None,White,32,iPad Air,11923,499
,1,275,Used,Unknown,Unknown,Unknown,64,iPad 3,11924,349
The volume button is a little touchy but I think you can get this fixed pretty easily. It doesn&#039;t ,1,0.99,Used,0,None,White,16,iPad Air,11925,399
"&#039;Grade B&#039; Refurbished Product w/ 30 Day Warranty - May Contain Scuffs, Dings, Dents, and/or other ",0,199.99,Manufacturer refurbished,1,AT&T,Black,32,iPad 2,11926,379
,1,99.99,Used,0,None,Black,16,iPad mini,11927,209
,0,175,Used,0,None,White,16,iPad mini 3,11928,399
,0,285,New other (see details),0,None,White,32,iPad mini 2,11929,349
,1,0.99,Used,0,None,Unknown,16,iPad 2,11930,199
,0,150,Used,0,None,Unknown,16,iPad 2,11931,199
,0,329,New,0,None,Black,16,iPad mini 2,11932,299
,1,180,Used,1,T-Mobile,White,16,iPad mini 2,11933,429
"This is an Ipad 3 with,100% functional, light sign of wear in the back but no crack , Great ",0,246,Seller refurbished,1,AT&T,Black,64,iPad 3,11934,479
USED IN MINT CONDITION,0,200,Used,1,AT&T,White,16,iPad 2,11935,329
,0,285,New,0,None,White,16,iPad mini 2,11936,299
,1,50,Used,0,None,Black,32,iPad 1,11937,199
It in excellent condition with no scratches with a anti crack screen protector already on the iPad ,1,230,Used,1,Sprint,Unknown,16,iPad mini 2,11938,429
Great condition.,0,285,Used,0,None,Unknown,16,iPad 4,11939,299
,1,175,Used,0,None,White,16,iPad 3,11940,249
,1,260,Used,1,AT&T,White,32,iPad 4,11941,479
Used but 90% new looking,1,80,New other (see details),1,Verizon,Unknown,16,iPad 3,11942,379
This TAB is in good condition with minor scratches on the housing or screen (does not affect ,0,310,Used,1,Unknown,White,64,iPad 4,11943,529
New open box. All accessories included. May have minor scratches,1,100,New other (see details),Unknown,Unknown,Unknown,Unknown,Unknown,11944,NA
new digitizer and new charger,1,0.99,Used,0,None,Unknown,16,iPad 2,11945,199
,1,99.99,Used,0,None,Unknown,16,iPad mini,11946,209
"Geek Squad certified with apple warranty till April 5, 2016",1,0.99,Seller refurbished,1,AT&T,White,32,iPad mini 2,11947,479
Please scroll all the way down to the bottom of the page and read the entire page thoroughly BEFORE ,0,239.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,11948,NA
,1,75,Used,0,None,Black,32,iPad 2,11949,249
,1,120,New,0,None,White,16,Unknown,11950,299
"This is a B Stock item, meaning the unit is in a good condition.The screen has no visible scratches ",0,269.99,Used,1,Unknown,Black,32,iPad 4,11951,479
,0,399,Used,0,None,White,16,iPad Air 2,11952,499
,1,0.45,New,0,None,White,16,iPad mini 3,11953,399
,0,223,Used,Unknown,Unknown,Unknown,Unknown,iPad mini 2,11954,NA
dent on top as shown in pictures,1,79,Used,0,None,White,16,iPad 2,11955,199
,1,0.99,Used,0,None,Unknown,16,iPad 2,11956,199
Works perfectly only upgraded,1,150,Used,1,Unknown,Black,16,Unknown,11957,429
,0,275,Used,0,None,Unknown,32,iPad 4,11958,349
"Used but in excellent condition. No dents, no cracks. Factory wiped and no activation lock.",1,99,Used,0,None,Unknown,32,iPad 3,11959,299
Excellent Condition. Keeped in case. No scratches mars etc.,1,74.5,Used,0,None,Unknown,16,iPad 1,11960,149
"Great Condtion, a few very light scuffs",1,64.99,Used,0,None,Unknown,16,iPad 1,11961,149
"iPad looks and works great. Screen is near mint, back and edges will  have some scuffing, scratches, ",0,239.88,Seller refurbished,1,Verizon,Unknown,64,iPad 3,11962,479
,0,199.99,Used,0,None,Unknown,16,iPad mini,11963,209
,0,84.99,Used,0,None,Unknown,32,iPad 1,11964,199
"This is a B Stock item, meaning the unit is in a good condition.The screen has no visible scratches ",0,269.99,Used,1,Unknown,Black,32,iPad 4,11965,479
Includes tablet and sim card .No cables.No AppleCare. Has light scratches and a dent around the ,1,65,Used,1,AT&T,Space Gray,32,iPad 1,11966,329
,1,100,Used,0,None,White,16,iPad 2,11967,199
,1,240,Used,0,None,Space Gray,64,iPad Air,11968,599
,1,90,Used,1,AT&T,Unknown,64,iPad 1,11969,379
Excellent used condition. No scratches or blemishes on  the screen or back.,1,100,Used,0,None,Unknown,16,iPad 2,11970,199
,1,150,Used,1,Verizon,Black,32,iPad 2,11971,379
,1,89.99,Used,0,None,White,16,iPad 2,11972,199
"sometimes freezes, but works.",1,0.99,Used,0,None,Unknown,16,iPad 1,11973,149
,1,0.01,New,0,None,Unknown,16,iPad Air 2,11974,499
"great condition, significant scratch, does not affect anything on Ipad, works great",1,48.99,Used,0,None,Black,16,iPad 1,11975,149
,1,225,Seller refurbished,1,Verizon,Space Gray,32,iPad mini 2,11976,479
This iPad is in decent condition. It has very subtle dents on the back (have to rotate the ipad to ,1,70,Used,0,None,Black,16,iPad 1,11977,149
,1,194,Used,1,Unknown,Black,32,iPad 2,11978,379
,1,1,Used,1,AT&T,Black,16,iPad 1,11979,279
,1,129,New other (see details),1,Verizon,Unknown,16,iPad mini,11980,309
,1,90,Used,0,None,Black,32,iPad mini,11981,249
Excellent condition see pictures.,1,80,Used,1,AT&T,Black,64,iPad 1,11982,379
,1,1,Used,0,None,Unknown,32,iPad 2,11983,249
,1,139,Used,0,None,White,16,iPad Air 2,11984,499
,1,0.99,Used,0,None,Unknown,16,iPad 2,11985,199
Item has original packaging. Original packaging has stickers on box. Device has heavy scratches.,0,179.99,Used,1,Verizon,Unknown,16,iPad mini,11986,309
,1,100,Used,0,None,White,16,iPad 3,11987,249
,0,225,Seller refurbished,0,None,White,32,iPad 3,11988,299
,1,0.99,Used,1,AT&T,Black,16,iPad mini,11989,309
,1,100,Used,0,None,Unknown,64,iPad mini,11990,299
,1,50,Used,1,AT&T,Black,16,iPad 1,11991,279
,1,150,New,1,AT&T,Unknown,16,iPad mini,11992,309
Like new,1,1,Used,1,Unknown,Unknown,128,iPad 4,11993,589
,0,419,New,0,None,Unknown,16,iPad Air 2,11994,499
,1,199,Used,0,None,Black,64,iPad mini,11995,299
Small dent in top right side. Works great.,1,95,Used,0,None,Unknown,16,iPad 2,11996,199
,1,550,Used,1,Unknown,White,128,iPad Air 2,11997, 829
,0,135,Used,0,None,Black,32,iPad 2,11998,249
,0,115,Used,0,None,Space Gray,16,iPad mini,11999,209
,1,100,Used,0,None,White,16,iPad 2,12000,199
Excellent Condition no scratches on glass.,1,85,Used,1,AT&T,Black,64,iPad 1,12001,379
,1,0.1,New other (see details),0,None,White,32,iPad 2,12002,249
iPad mini 1st gen wi-fi 16gb is in perfect working order.,1,0.99,Used,0,None,Unknown,16,iPad mini,12003,209
"Only used a handful of times, like new",1,50,Used,0,None,Unknown,16,iPad 2,12004,199
,1,49.99,Used,0,None,Black,16,iPad mini 2,12005,299
Good used condition.,1,129.99,Used,0,None,White,16,iPad mini 2,12006,299
,1,99,Used,0,None,Black,16,iPad 2,12007,199
,1,300,New,Unknown,Unknown,Unknown,Unknown,Unknown,12008,NA
"Almost like new, very few scratches.",1,150,Used,0,None,Unknown,16,iPad mini 2,12009,299
In good shape. See photos.,1,0.98,Used,1,Verizon,Unknown,32,iPad mini,12010,359
,1,0.99,Used,0,None,Black,16,iPad mini,12011,209
Used very good,0,179.99,Used,1,Verizon,White,64,iPad 2,12012,429
Great condition.,0,235.99,Manufacturer refurbished,0,None,Black,16,iPad 3,12013,249
This item is in Excellent cosmetic condition. It will not have any scratches on the screen. It may ,0,239.99,Used,1,Verizon,Black,64,iPad mini,12014,409
Excellent Condition no scratches on glass.,1,85,Used,1,AT&T,Black,64,iPad 1,12015,379
,0,190,Manufacturer refurbished,1,Sprint,Unknown,16,iPad mini,12016,309
,1,1,Used,1,AT&T,Black,16,iPad 1,12017,279
,1,0.99,Used,0,None,Unknown,32,iPad 1,12018,199
,1,85,Used,1,Verizon,Black,16,iPad 2,12019,329
,1,70,Used,0,None,Black,32,iPad 1,12020,199
,1,70,Used,0,None,Black,16,iPad 2,12021,199
,1,40,Used,0,None,White,32,iPad 1,12022,199
,1,19.99,Seller refurbished,0,None,Black,32,iPad 1,12023,199
"Glass is Lifting from Bezel, has nicks and scratches but this is Still 100% Fully Functional, Clean ",0,160,Used,1,AT&T,Unknown,16,iPad 2,12024,329
"I pad is in excellent used condition, always covered and skinned, very small scratch on screen, ",1,10,Used,0,None,Black,16,iPad 1,12025,149
,1,1,Used,1,Verizon,Unknown,16,iPad 3,12026,379
,1,1,Used,1,Verizon,Unknown,64,iPad 1,12027,379
"very good used condition, well taken care of!",1,290,Used,0,None,Unknown,16,iPad mini,12028,209
lost original box and charger but comes with USB and case,1,150,New other (see details),0,None,Unknown,16,iPad 4,12029,299
,1,0.99,Used,0,None,Black,32,iPad 1,12030,199
"Good Condition(8.25/10), 100% functional with Flawless Retina Display. Unit has a dent on upper left ",1,1,New other (see details),0,None,Black,32,iPad mini 2,12031,349
,1,259.99,Used,0,None,White,16,iPad Air,12032,399
,1,180,Used,1,AT&T,Black,64,iPad 2,12033,429
,1,288,Used,1,Verizon,Space Gray,32,iPad Air,12034,579
"C - Stock. Seller refurbished &amp; in Fair cosmetic condition. 100% Fully Functional, iCloud Clear, ",0,291.99,Seller refurbished,0,None,White,64,iPad 4,12035,399
Please read details below.,0,289.79,Used,0,None,White,16,iPad Air,12036,399
,0,90,Used,1,AT&T,Black,64,iPad 1,12037,379
This iPad is working and is tested 100%. It runs great. It is in good condition but has a small dent ,0,199.99,Used,0,None,Unknown,16,iPad 3,12038,249
,1,150,Used,1,AT&T,Black,64,iPad mini,12039,409
,0,259,Used,1,Unknown,Black,16,iPad 4,12040,429
,1,150,Used,0,None,Black,32,iPad mini,12041,249
Only used for a couple of days,1,120,Seller refurbished,0,None,Unknown,16,Unknown,12042,299
,0,499.99,Used,1,Verizon,Unknown,16,iPad Air 2,12043,629
"Shows very little wear from use. Has personalized name on back, but can easily be removed/covered up",1,93,Used,0,None,Unknown,64,iPad 1,12044,249
,1,450,New,0,None,Space Gray,64,iPad Air 2,12045,599
,1,139,Used,0,None,Unknown,16,iPad 2,12046,199
,0,520,New,0,None,Unknown,64,iPad Air 2,12047,599
,1,74.99,Used,0,None,Black,16,iPad 1,12048,149
,1,20,Used,0,None,Black,32,iPad 2,12049,249
Grade B refurbished.  No factory packaging.  Small dent in side casing (see photos).  Several ,0,249.99,Manufacturer refurbished,1,Verizon,Black,16,iPad 4,12050,429
,1,25,Used,Unknown,Unknown,Unknown,16,Unknown,12051,299
,0,175,Used,0,None,White,16,iPad 2,12052,199
,1,189,Used,0,None,Unknown,16,iPad 4,12053,299
A device listed in good condition with a few minor mark and/or scratches on the housing or display ,0,169,Used,0,None,White,64,iPad 2,12054,299
,1,29.99,Used,1,Other,Black,16,iPad 1,12055,279
,1,90,Used,1,AT&T,Unknown,64,iPad Air,12056,629
item that has been restored to working order  item is not in original packaging may have light ,0,230,Seller refurbished,0,None,White,16,iPad mini 2,12057,299
"Some scratches and tape residue visible on the back from previous owner.

Item is used and shows ",1,249.98,Used,0,None,Unknown,16,iPad Air,12058,399
Excellent condition...like new...........,1,140,Used,0,None,Unknown,16,iPad mini,12059,209
,0,145,Used,0,None,Unknown,16,iPad mini,12060,209
,1,0.01,Used,1,Unknown,White,32,iPad 1,12061,329
,1,1,Used,1,AT&T,Unknown,16,iPad mini,12062,309
Used. Absolute must-have. Some signs of use.Scratches on the back of the device. See photos. Comes ,1,195,Used,0,None,Unknown,32,iPad 4,12063,349
,1,250,Used,0,None,White,16,iPad Air 2,12064,499
,1,125,Used,0,None,Unknown,16,iPad mini,12065,209
,1,179.99,Used,0,None,Black,16,iPad 3,12066,249
,1,99.95,Used,1,Verizon,Unknown,16,iPad 3,12067,379
,1,1,Used,Unknown,Unknown,Unknown,Unknown,iPad 1,12068,NA
,0,559.99,New other (see details),0,None,Unknown,64,iPad 4,12069,399
,0,290,Used,0,None,Black,16,iPad 3,12070,249
Please read details below. There some personal greeting title on back cover from a previous owner as ,0,92.14,Used,0,None,Unknown,16,iPad 1,12071,149
,1,99.99,Used,0,None,Unknown,16,iPad 2,12072,199
,1,79,Used,Unknown,Unknown,Unknown,Unknown,iPad 1,12073,NA
Has been reset to original factory settings.,1,290,Seller refurbished,1,Verizon,White,16,iPad Air,12074,529
,1,225,Seller refurbished,1,Verizon,White,32,iPad 3,12075,429
,1,9.99,Used,0,None,Black,32,iPad 2,12076,249
"Like new. Fully functional, No damage at all.  It comes in the original apple box.",0,171.95,Used,0,None,Unknown,16,iPad mini,12077,209
"This item is used and in acceptable condition. Moderate scratches around the side and back, dented ",0,189.99,Used,1,AT&T,Unknown,16,iPad 2,12078,329
,1,199,Used,0,None,Space Gray,64,iPad mini 3,12079,499
The iPad is in very good condition. On the upper right side there is a small chip on the side of the ,1,149.99,Used,0,None,Unknown,32,iPad 3,12080,299
,1,150,New other (see details),0,None,White,16,iPad 3,12081,249
,1,99,Used,0,None,Space Gray,16,iPad mini,12082,209
The screen has a few scratches. There are a few dings around the edges. The back has a few scratches ,1,50,Used,1,Unknown,Unknown,64,iPad 1,12083,379
Minor wear and tear. Device is fully operational and in working order. No major scratches on screen ,1,0.01,Used,0,None,White,16,iPad 2,12084,199
,0,230,New,0,None,Black,16,iPad mini,12085,209
Please read details below. There some personal greeting title on back cover from a previous owner as ,0,92.14,Used,0,None,Unknown,16,iPad 1,12086,149
"Used Apple iPad 4th Generation 64GB, Wi-Fi, 9.7in - Black,has signs of wear, has been restored to ",1,0.99,Used,0,None,Black,64,iPad 4,12087,399
This TAB is in good condition with minor scratches on the housing or screen (does not affect ,0,215,Used,Unknown,Unknown,White,32,iPad 3,12088,299
"Like new condition. No scratches,clear bright display.New original charger included.",1,99,Used,1,AT&T,White,64,iPad 1,12089,379
Used. Not iCloud Locked.,1,90,Used,1,Unknown,Black,16,iPad Air,12090,529
Won&#039;t hold charge/ cracked screen,1,0.99,Used,0,None,Unknown,32,iPad mini,12091,249
,1,174.99,Used,0,None,White,16,iPad 2,12092,199
"Cracked screen, all buttons, volume and functions work.",1,150,Used,0,None,Unknown,16,iPad mini,12093,209
,1,95,Used,1,Verizon,Black,32,iPad 2,12094,379
"Screen was replaced with a white one, it does not affect iPad&#039;s functioanlity",0,144.99,Seller refurbished,0,None,Space Gray,16,iPad mini,12095,209
,0,9,Used,Unknown,Unknown,Space Gray,64,iPad Air 2,12096,599
this ipad is fully functional and in excellent condition. icloud has been deactivated and ready for ,1,99.99,Used,0,None,White,64,iPad Air,12097,599
Almost new condition. Some scuffs around two of the corners but nothing noticeable. Works great. ,0,150,Used,0,None,Unknown,16,iPad mini,12098,209
,1,170,Used,Unknown,Unknown,Space Gray,16,iPad 2,12099,199
This TAB is in good condition with minor scratches on the housing or screen (does not affect ,0,204,Used,1,AT&T,White,16,iPad 3,12100,379
"This item is used and in acceptable condition. Moderate scratches around the side and back, dented ",0,189.99,Used,1,AT&T,Unknown,16,iPad 2,12101,329
,1,1,New,1,AT&T,Space Gray,128,iPad mini 2,12102,579
In great shape. Almost new.,0,367.97,Used,1,AT&T,Unknown,32,iPad 4,12103,479
,0,370,Used,1,AT&T,Unknown,32,iPad Air,12104,579
,1,0.99,Used,0,None,White,64,iPad 2,12105,299
This is an iPad Air first generation (gray color). It&#039;s a used iPad (just like new) as shown in the ,0,290,Used,0,None,Unknown,16,iPad Air,12106,399
,1,0.99,Used,0,None,Unknown,32,iPad Air,12107,499
,1,329.99,Used,Unknown,Unknown,White,Unknown,iPad mini 2,12108,NA
New Open Box,0,259.99,New other (see details),1,Sprint,White,64,iPad mini,12109,409
MINT CONDITION,0,374.99,Used,1,Verizon,Space Gray,32,iPad Air,12110,579
,1,200,Used,0,None,Space Gray,64,iPad mini 2,12111,399
,1,480,New,0,None,White,64,iPad Air 2,12112,599
,1,200,New other (see details),0,None,White,32,iPad Air,12113,499
,1,75,Used,0,None,Black,16,iPad 2,12114,199
,1,200,Used,0,None,White,32,iPad 2,12115,249
,1,99.99,Used,0,None,White,16,iPad 2,12116,199
,1,225,Used,0,None,Unknown,32,iPad mini,12117,249
,1,30,Used,0,None,White,16,iPad 2,12118,199
,0,181,Used,0,None,Unknown,16,iPad mini,12119,209
In excellent condition. No scratches and has been in case since purchased. Will send chargers for ,0,259.99,Used,0,None,Black,16,iPad 4,12120,299
Mint condition!,1,75,Used,0,None,White,16,iPad mini,12121,209
,1,469.99,Used,1,Verizon,Space Gray,64,iPad Air 2,12122,729
,1,5,Used,0,None,Space Gray,16,iPad mini,12123,209
Used iPad but in great shape.  The upper left corner had been dinged but it has been re-shaped and a ,1,50,Used,0,None,Black,16,iPad 4,12124,299
,1,99.99,Used,0,None,Black,64,iPad 4,12125,399
,1,99,Used,0,None,Space Gray,16,iPad mini 3,12126,399
,1,200,Used,1,T-Mobile,White,64,iPad Air,12127,629
,0,165,Seller refurbished,0,None,Black,16,iPad 2,12128,199
,1,25,Used,0,None,Space Gray,Unknown,iPad mini,12129,NA
"Excellent condition, spent its entire life in an otter box.",1,50,Used,0,None,Unknown,16,iPad mini,12130,209
"This is a A- Stock item, meaning the unit is in a very good cosmetic condition. It shows a smooth ",0,389.99,Used,1,AT&T,Unknown,64,iPad Air,12131,629
LIKE NEW!!!!!!!! iPad contains a small engraved University of Arizona emblem. No scratches or wear.,1,200,Used,0,None,Black,16,iPad 4,12132,299
3 of 5. This item is gently used. The item shows minor to average signs of wear and tear including ,0,144.99,Used,0,None,Unknown,16,iPad 2,12133,199
"iCloud Locked. For Use if you can unlock it, or parts.",1,100,Used,0,None,Space Gray,16,iPad Air,12134,399
,0,275,Used,1,Unknown,White,64,iPad 2,12135,429
